hr,MAE,RMSE,bias
0,24.596876715885553,37.28339815575998,11.036608187766072
1,22.563887455394383,30.97699962105014,4.858049928795832
2,24.02330938698891,32.00938218499756,-7.208132493307022
3,23.39213726322339,35.126673128058506,-12.858117136542269
4,19.878192712498354,30.957356016369264,-9.673255550550667
5,23.36208760923767,33.19566916428055,-7.801913294750273
6,36.44109018578822,43.30567654152268,6.654933176656106
7,85.06426746559671,100.1831973990197,43.50063416145378
8,131.62525285354818,157.2234498719962,79.10802623503974
9,60.25314032008852,70.3085632017265,40.48774960911136
10,45.28894205233317,62.08300220023418,28.976593433089754
11,53.44310022332086,73.57561714488175,42.44012912227676
12,72.79776508268726,94.79889878974771,58.0633445939036
13,68.62603534023063,88.64927706716477,55.489007102576636
14,62.34459294621323,82.44254883962182,46.83417289907054
15,75.51055935715188,94.79061756168818,56.70547208897683
16,105.87593125601919,118.55836983580795,89.16597897402058
17,138.4139174103657,160.39313843707006,105.46927916860501
18,122.25796069086789,142.39675020211735,80.8689558769252
19,92.07699063142334,109.87901402310337,65.71042884356497
20,67.64227374972346,80.66004393576355,46.318832638491926
21,49.74381048194723,63.58377724016289,28.205788006344793
22,37.28470570455799,49.24142275799049,15.159221530566585
23,33.88471375080547,42.83203658989638,20.450497486943473
